WKT,name,description
"POLYGON ((106.7180866 -6.0970991, 106.7077869 -6.0991474, 106.6865009 -6.1148506, 106.6830677 -6.1346497, 106.6638416 -6.1428422, 106.6583485 -6.1585441, 106.6542286 -6.1674189, 106.6501087 -6.1803895, 106.6549152 -6.1913119, 106.6542286 -6.2063298, 106.6734547 -6.2295384, 106.6659016 -6.2452377, 106.6707081 -6.2520634, 106.694054 -6.2875554, 106.6988605 -6.3012055, 106.71534 -6.3148553, 106.7290729 -6.3196326, 106.7338795 -6.3298696, 106.7544788 -6.3462484, 106.7634052 -6.3598969, 106.7826313 -6.3626266, 106.7984241 -6.3653563, 106.8183369 -6.3721804, 106.8348163 -6.3790043, 106.8519825 -6.3790043, 106.8629688 -6.3824163, 106.8849415 -6.3844635, 106.9076008 -6.3899225, 106.920647 -6.3790043, 106.9371265 -6.3851459, 106.9453663 -6.3858282, 106.9611591 -6.3858282, 106.9693989 -6.3817339, 106.9810718 -6.3824163, 106.996178 -6.3769572, 107.0092243 -6.363309, 107.0277637 -6.3496606, 107.0360035 -6.3346468, 107.050423 -6.3189501, 107.0648426 -6.3175852, 107.0744556 -6.305983, 107.0868152 -6.2848253, 107.0978016 -6.266397, 107.1012348 -6.247968, 107.0978016 -6.2309036, 107.0875019 -6.2261254, 107.0840687 -6.216569, 107.0765156 -6.1954077, 107.0710224 -6.1762936, 107.0682758 -6.1605922, 107.0648426 -6.1428422, 107.0607227 -6.1264571, 107.0360035 -6.1128024, 107.0181507 -6.1100714, 106.998238 -6.1100714, 106.976952 -6.1168989, 106.9542927 -6.1209953, 106.9398731 -6.1285052, 106.9364399 -6.1360151, 106.9220203 -6.1073405, 106.9124073 -6.1073405, 106.9041675 -6.1073405, 106.8918079 -6.1073405, 106.8918079 -6.1209953, 106.8924946 -6.1326016, 106.8808216 -6.1264571, 106.8615955 -6.121678, 106.8540424 -6.1250916, 106.8423694 -6.1278225, 106.8231434 -6.1305534, 106.8176502 -6.129188, 106.8073505 -6.1305534, 106.7860645 -6.1305534, 106.7743915 -6.1230434, 106.7675251 -6.1230434, 106.7455524 -6.1223607, 106.7338795 -6.1175816, 106.7180866 -6.0970991))",DKI Jakarta,
"POLYGON ((110.3521356 -7.7457944, 110.348874 -7.7452841, 110.3445825 -7.7440934, 110.3414926 -7.748686, 110.3390893 -7.7548093, 110.3353128 -7.7651848, 110.3315362 -7.7779411, 110.3299913 -7.7988607, 110.3284463 -7.8015819, 110.3251847 -7.8007315, 110.3246698 -7.8054935, 110.3239831 -7.8214799, 110.3298196 -7.8219901, 110.3341111 -7.8253913, 110.3418359 -7.8262416, 110.3571138 -7.8287926, 110.3574571 -7.832704, 110.3650102 -7.8359351, 110.3759965 -7.8366153, 110.3852662 -7.8338944, 110.3880128 -7.8342345, 110.3904161 -7.8362752, 110.4024324 -7.8372956, 110.4062089 -7.8364453, 110.4070672 -7.8291327, 110.4105004 -7.8226703, 110.4086122 -7.8094051, 110.4098138 -7.8000512, 110.4110154 -7.7835538, 110.4298982 -7.7833837, 110.4310998 -7.7663754, 110.4223451 -7.7639941, 110.4089555 -7.7609326, 110.3993425 -7.758041, 110.3904161 -7.7597419, 110.3874978 -7.7592317, 110.3821763 -7.7539589, 110.3796014 -7.752428, 110.3746232 -7.7519177, 110.3629502 -7.7495364, 110.3521356 -7.7457944))",DIY Yogyakarta,
"POLYGON ((106.8327009 -6.3719883, 106.830641 -6.3812006, 106.8258345 -6.3904128, 106.8198263 -6.3991131, 106.8155348 -6.4001366, 106.8072951 -6.3979189, 106.8012869 -6.3950189, 106.7939055 -6.3945071, 106.7836058 -6.3951895, 106.7746794 -6.3963836, 106.7715895 -6.3948483, 106.7705595 -6.4044014, 106.7630064 -6.4052544, 106.7552817 -6.4073014, 106.744467 -6.4057661, 106.7415487 -6.4052544, 106.7358839 -6.4079838, 106.7336523 -6.4183896, 106.7312491 -6.4296481, 106.7339956 -6.4339126, 106.7331373 -6.4419299, 106.7315924 -6.4513115, 106.7326224 -6.4480706, 106.734854 -6.4484118, 106.7369139 -6.4473883, 106.7396605 -6.4465354, 106.7420637 -6.4473883, 106.7441237 -6.4473883, 106.7472136 -6.4477295, 106.7496168 -6.4473883, 106.7525351 -6.4487529, 106.75511 -6.4480706, 106.7588865 -6.4472177, 106.7614615 -6.445512, 106.7660963 -6.4444885, 106.7684996 -6.4453414, 106.7717611 -6.4446591, 106.7731344 -6.4450002, 106.7760527 -6.4436356, 106.777426 -6.4444885, 106.7793143 -6.4460237, 106.7801726 -6.4477295, 106.7856657 -6.4484118, 106.7859207 -6.4494644, 106.7855773 -6.4521083, 106.7854057 -6.4569696, 106.7844615 -6.4573108, 106.7853198 -6.4593576, 106.7863498 -6.4608075, 106.7864356 -6.4626838, 106.7866073 -6.4695918, 106.7875514 -6.4709564, 106.7887531 -6.4745383, 106.7883239 -6.4761587, 106.7901264 -6.4781202, 106.7903839 -6.4808492, 106.7909847 -6.4823843, 106.7906413 -6.484431, 106.7933021 -6.482896, 106.7946754 -6.4855397, 106.795877 -6.4869042, 106.7981944 -6.4840899, 106.8033443 -6.4793994, 106.8029151 -6.4719798, 106.8044601 -6.4690801, 106.8029151 -6.4622573, 106.7994819 -6.4614045, 106.7970787 -6.4626838, 106.796392 -6.4593576, 106.7991386 -6.4530464, 106.7991386 -6.4510848, 106.8013702 -6.4507437, 106.8032585 -6.4462234, 106.8077217 -6.4377799, 106.8102966 -6.4301038, 106.8132148 -6.4222569, 106.8145881 -6.4181629, 106.8177638 -6.409463, 106.8198238 -6.4043453, 106.8187938 -6.4007629, 106.8204246 -6.3994835, 106.8235145 -6.3998246, 106.8265186 -6.4007629, 106.8296943 -6.4007629, 106.8319259 -6.4012747, 106.8325267 -6.4034071, 106.8353591 -6.4041747, 106.8364749 -6.4036629, 106.8405948 -6.4044306, 106.8427406 -6.4056247, 106.8447147 -6.4064777, 106.8449722 -6.4040894, 106.8499504 -6.405113, 106.851152 -6.4010188, 106.8520961 -6.3891626, 106.8526111 -6.3850683, 106.851152 -6.3801209, 106.850122 -6.3785855, 106.8407665 -6.3790973, 106.8370758 -6.3772207, 106.8345867 -6.3769649, 106.8320976 -6.3760266, 106.8327009 -6.3719883))",Kota Administrasi Depok,
